file,low_dab_mean,low_dab_std,low_dab_rgb_mean,low_dab_rgb_std,high_dab_mean,high_dab_std,high_dab_rgb_mean,high_dab_rgb_std
"CyclinD1/1. WT, Chow/ASV50/CyclinD1_ASV50_1.vmic.20020.tif Snapshot 1.tif",0.0247395066131817,0.0058561733517189,196.5543418716086,18.607366922403727,0.0704621857694742,0.0210224105204273,124.04577936902528,21.236182567116646
"CyclinD1/1. WT, Chow/ASV50/CyclinD1_ASV50_1.vmic.20020.tif Snapshot 2.tif",0.0251409582266567,0.006327532154303,194.70919597831684,19.802061343656565,0.0730860557857421,0.021631847606458,121.39410026199072,20.8851195999918
"CyclinD1/1. WT, Chow/ASV50/CyclinD1_ASV50_1.vmic.20020.tif Snapshot 3.tif",0.0274291147947961,0.0076893446433409,193.6147822771049,20.25053819835254,0.0949487918587741,0.0291836454099703,107.9822494085707,20.98048829797005
"CyclinD1/1. WT, Chow/ASV50/CyclinD1_ASV50_1.vmic.20020.tif Snapshot 4.tif",0.0232048743282067,0.005359797180216,194.5305926498948,18.92129514684172,0.0671938158259566,0.0220504565754485,120.56070543586098,22.477848986175832
"CyclinD1/1. WT, Chow/ASV54/CyclinD1_ASV54_1.vmic.20020.tif  Snapshot 1.tif",0.0456166217423927,0.0152534813228559,150.80341346826643,25.587770282865804,0.1197339558407447,0.0344268748169493,94.54326192460417,17.84140654477449
"CyclinD1/1. WT, Chow/ASV54/CyclinD1_ASV54_1.vmic.20020.tif  Snapshot 2.tif",0.0445745964255928,0.0157505220009014,150.2393762333873,28.90491688214989,0.1255499310781837,0.0400931751470145,87.27194958312602,19.01563793670551
"CyclinD1/1. WT, Chow/ASV54/CyclinD1_ASV54_1.vmic.20020.tif  Snapshot 3.tif",0.0447084653604506,0.0165059492497382,155.07430021266964,30.513821606224187,0.1317646874449436,0.039374330566407,86.6347995530231,18.183284421800195
"CyclinD1/1. WT, Chow/ASV59/CyclinD1_ASV59_1.vmic.20020.tif Snapshot 1.tif",0.0504476965802736,0.017784221023311,152.39517064404163,30.08082553272878,0.1536720217385588,0.050685700245024,76.7549972521724,17.24341503015144
"CyclinD1/1. WT, Chow/ASV59/CyclinD1_ASV59_1.vmic.20020.tif Snapshot 2.tif",0.0506723034143679,0.0177666699854787,149.76323504364336,29.22306069505978,0.1507249098432739,0.0453008287824384,77.83405483405484,16.602336923627625
"CyclinD1/1. WT, Chow/ASV59/CyclinD1_ASV59_1.vmic.20020.tif Snapshot 3.tif",0.048910483380048,0.016073068965548,153.13446985690527,28.50053800091348,0.1428657634153201,0.0465812702838685,79.9510573650948,17.663242842024385
"CyclinD1/1. WT, Chow/ASV59/CyclinD1_ASV59_1.vmic.20020.tif Snapshot 4.tif",0.0508052085534619,0.0179105521493757,149.68921981742375,29.334207827402263,0.1516426316847951,0.0527132738247532,77.28742232673324,17.30470749028098
"CyclinD1/1. WT, Chow/NK37/CyclinD1 NK37_1.vmic.18820.tif Snapshot 1.tif",0.0233539773127873,0.0053964781251408,196.20704811470057,19.04017249083156,0.0939065545874588,0.0356586192150713,98.15202905061396,25.07419211686434
"CyclinD1/1. WT, Chow/NK37/CyclinD1 NK37_1.vmic.18820.tif Snapshot 2.tif",0.0261090508206623,0.0058515279319781,194.55767783810663,17.909872175586518,0.1048193603813039,0.0380408942586935,97.24777213841725,25.053851229278465
"CyclinD1/1. WT, Chow/NK37/CyclinD1 NK37_1.vmic.18820.tif Snapshot 3.tif",0.0210755512989326,0.0055308588867189,202.1296504414736,18.199524772380578,0.1022620806274545,0.0432371997433534,98.71240488905318,26.62492045167395
"CyclinD1/1. WT, Chow/NK41/CyclinD1_NK41_2.vmic.18980.tif Snapshot 1.tif",0.0349382827410294,0.0049919379168136,183.293793380204,12.493550618340466,0.0553368233215056,0.0123864519697899,159.02315207035213,17.253154794467516
"CyclinD1/1. WT, Chow/NK41/CyclinD1_NK41_2.vmic.18980.tif Snapshot 2.tif",0.0428452132454054,0.0061270345480859,176.150278870849,11.869358206947,0.0648684048401919,0.0138684363322437,152.12221003984197,15.25412456065111
"CyclinD1/1. WT, Chow/NK41/CyclinD1_NK41_2.vmic.18980.tif Snapshot 3.tif",0.0356802962216474,0.0051883445669723,182.8223995899256,12.916236626793076,0.0544107646984046,0.0120157429207308,161.3292999921675,15.669927577646826
